team_fifa_code,appearances_last5
T001,1
T002,0
T003,0
T004,0
T005,1
T006,0
T007,1
T008,1
T009,1
T010,1
T011,1
T012,0
T013,0
T014,0
T015,0
T016,0
T017,2
T018,0
T019,1
T020,0
T021,0
T022,0
T023,0
T024,1
T025,0
T026,2
T027,0
T028,1
T029,1
T030,0
T031,1
T032,0
T033,0
T034,0
T035,0
T036,0
T037,1
T038,0
T039,0
T040,0
T041,0
T042,3
T043,0
T044,0
T045,0
T046,1
T047,0
T048,1
T049,0
T050,0
T051,0
T052,0
T053,0
T054,1
T055,0
T056,0
T057,1
T058,0
T059,1
T060,0
T061,1
T062,0
T063,0
T064,1
T065,0
T066,0
T067,1
T068,1
T069,0
T070,0
T071,1
T072,0
T073,0
T074,0
T075,0
T076,0
T077,0
T078,1
T079,0
T080,0
T081,1
T082,1
T083,1
T084,1
T085,0
T086,0
T087,1
T088,1
T089,0
T090,1
T091,0
T092,2
T093,1
T094,1
T095,0
T096,0
T097,3
T098,2
T099,0
T100,1
T101,0
T102,0
T103,0
T104,0
T105,0
T106,0
T107,0
T108,0
T109,0
T110,0
T111,1
T112,1
T113,0
T114,1
T115,0
T116,0
T117,0
T118,0
T119,1
T120,0
T121,0
T122,0
T123,2
T124,1
T125,1
T126,1
T127,1
T128,0
T129,0
T130,0
T131,2
T132,0
T133,1
T134,0
T135,0
T136,0
T137,1
T138,0
T139,1
T140,0
T141,1
T142,0
T143,1
T144,1
T145,0
T146,0
T147,0
T148,0
T149,1
T150,0
T151,2
T152,0
T153,0
T154,0
T155,0
T156,0
T157,3
T158,1
T159,0
T160,0
T161,0
T162,0
T163,0
T164,0
T165,1
T166,1
T167,0
T168,1
T169,0
T170,0
T171,0
T172,1
T173,0
T174,1
T175,2
T176,1
T177,1
T178,0
T179,0
T180,0
T181,0
T182,1
T183,1
T184,1
T185,0
T186,0
T187,0
T188,0
T189,0
T190,1
T191,0
T192,0
T193,0
T194,0
T195,0
T196,0
T197,0
T198,0
T199,0
T200,0
T201,0
T202,1
T203,0
T204,2
T205,0
T206,0
T207,0
T208,0
T209,1
T210,1
T211,0
